SrNo,PreheatingZone,HeatingZone1,HeatingZone2,SockingZone,FuelType,AirFuelRatio
1,462,507,786,945,0,10
2,431,518,634,1142,1,18
3,417,541,707,961,0,10
4,461,542,774,1003,0,8
5,382,558,770,993,0,10
6,458,582,699,924,1,18
7,380,646,743,1101,1,18
8,411,524,766,1021,1,18
9,385,523,653,1051,1,15
10,449,503,710,1111,0,10
11,388,541,684,1139,0,9
12,402,615,670,1147,1,15
13,404,640,745,1015,0,9
14,435,598,684,991,1,15
15,442,605,693,970,1,14
16,418,567,743,1179,0,8
17,414,569,797,965,1,16
18,461,541,665,1115,1,19
19,435,548,658,900,0,11
20,402,550,788,919,0,9
21,404,543,742,1078,0,10
22,383,527,759,1097,0,10
23,413,557,700,931,0,10
24,419,543,659,1042,1,19
25,451,594,638,1135,1,14
26,450,610,753,1014,0,11
27,403,558,777,979,1,15
28,455,529,778,955,0,8
29,439,512,645,1102,1,18
30,445,552,637,1118,0,10
31,430,625,695,1086,1,14
32,397,558,655,1001,1,16
33,457,509,646,952,0,10
34,381,646,787,1146,1,19
35,385,521,763,969,1,18
36,407,591,725,1009,1,17
37,388,546,686,1179,1,16
38,457,572,722,1009,0,9
39,383,633,715,1030,1,17
40,442,541,779,1086,1,15
41,449,635,762,990,1,18
42,454,540,650,1055,1,18
43,445,558,711,999,0,10
44,430,531,701,1008,0,8
45,460,536,773,982,0,10
46,404,522,796,920,0,8
47,457,633,751,1008,1,19
48,454,639,669,936,0,11
49,459,553,657,1177,0,11


