SrNo,PreheatingZone,HeatingZone1,HeatingZone2,SockingZone,FuelType,AirFuelRatio
1,351,654,714,1007,1,15
2,496,676,668,1000,1,13
3,373,542,663,999,1,5
4,420,616,624,978,1,13
5,421,647,609,922,1,16
6,417,556,753,904,1,14
7,387,513,758,935,1,13
8,407,635,725,1037,1,7
9,481,547,733,1040,1,18
10,356,553,654,946,1,18
11,350,646,632,990,1,10
12,389,666,680,964,1,16
13,370,605,694,904,1,5
14,382,602,720,907,1,13
15,396,665,634,1081,1,14
16,450,541,615,1000,1,10
17,414,681,631,958,1,9
18,393,595,737,1082,1,11
19,456,574,749,1002,1,13
20,368,600,650,1002,1,19
21,422,573,782,1008,1,9
22,407,530,762,905,1,10
23,372,547,776,1060,1,10
24,352,654,674,1069,1,5
25,460,648,682,1001,1,19
26,417,502,679,905,1,16
27,394,681,777,1004,1,11
28,385,566,786,1080,1,12
29,425,541,718,1085,1,6
30,372,652,718,933,1,11
31,445,513,666,927,1,17
32,470,657,669,1055,1,11
33,424,638,767,953,1,8
34,463,554,635,1097,1,19
35,371,638,615,986,1,19
36,407,571,715,918,1,11
37,372,632,774,976,1,10
38,460,676,690,1061,1,18
39,368,579,707,997,1,11
40,470,540,659,922,1,13
41,352,552,648,943,1,13
42,425,558,794,910,1,10
43,386,696,768,1097,1,15
44,359,688,775,900,1,8
45,460,673,734,947,1,8
46,490,680,676,1087,1,10
47,385,604,677,1090,1,8
48,361,572,759,985,1,17
49,361,644,653,924,1,19
50,464,570,663,936,1,7
