SrNo,PreheatingZone,HeatingZone1,HeatingZone2,SockingZone,FuelType,AirFuelRatio
1,413,573,778,982,1,19
2,483,616,710,978,1,18
3,446,626,623,966,1,14
4,494,692,790,959,1,5
5,373,693,646,947,1,18
6,452,510,689,919,1,16
7,419,507,706,1004,1,10
8,352,634,698,957,1,19
9,446,609,607,995,1,10
10,477,677,695,1020,1,8
11,471,590,797,1006,1,19
12,438,613,763,1038,1,16
13,410,634,662,950,1,12
14,371,601,677,1071,1,11
15,399,545,750,1011,1,13
16,476,629,694,1015,1,11
17,375,657,604,1079,1,8
18,367,656,652,1074,1,13
19,471,529,633,1071,1,13
20,389,510,728,969,1,9
21,393,519,739,959,1,7
22,384,523,684,919,1,14
23,359,683,687,923,1,10
24,441,644,615,987,1,5
25,393,670,694,902,1,13
26,393,647,696,1009,1,18
27,477,678,615,1092,1,9
28,447,518,683,940,1,8
29,455,673,722,1049,1,18
30,418,548,646,1042,1,18
31,472,692,777,1006,1,18
32,459,575,685,997,1,11
33,467,562,692,1008,1,9
34,499,581,718,1061,1,13
35,372,537,774,1019,1,11
36,497,642,719,1064,1,14
37,486,594,651,964,1,18
38,470,671,712,1093,1,18
39,409,587,645,1051,1,11
40,469,616,785,1002,1,12
41,414,570,625,987,1,14
42,428,503,757,951,1,5
43,376,626,768,1005,1,9
44,425,592,677,997,1,6
45,367,568,634,1077,1,16
46,388,671,626,912,1,16
47,445,521,686,908,1,11
48,376,633,774,1007,1,13
49,356,599,761,967,1,7
50,496,669,617,1049,1,9
51,367,584,609,1011,1,9
52,432,526,671,929,1,13
53,467,528,718,974,1,13
54,478,638,731,949,1,9
55,480,617,710,986,1,11
56,449,617,662,953,1,19
57,457,680,653,963,1,14
58,432,633,625,913,1,15
59,477,569,746,996,1,8
60,489,657,789,1025,1,10
61,403,677,757,902,1,12
62,499,584,697,1056,1,16
63,446,630,705,926,1,7
64,412,501,785,954,1,7
65,476,657,671,922,1,17
66,384,585,693,1005,1,9
67,456,656,685,905,1,15
68,489,684,754,1021,1,16
69,398,592,705,972,1,13
70,353,654,736,1020,1,6
